Series Name,"Country Name","Time","Value"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2016",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2017",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2018",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2019",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"El mundo árabe","2020",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1990",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1991",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1992",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1993",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1994",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1995",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1996",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1997",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1998",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","1999",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2000",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2001",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2002",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2003",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2004",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2005",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2006",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2007",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2008",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2009",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2010",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2011",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2012",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2013",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2014",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2015",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2016",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2017",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2018",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2019",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Estados pequeos del Caribe","2020",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1990",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1991",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1992",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1993",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1994",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1995",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1996",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1997",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1998",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","1999",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2000",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2001",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2002",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2003",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2004",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2005",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2006",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2007",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2008",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2009",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2010",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2011",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2012",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2013",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2014",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2015",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2016",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2017",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2018",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2019",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa Central y del Báltico","2020",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1990",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1991",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1992",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1993",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1994",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1995",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1996",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1997",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1998",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","1999",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2000",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2001",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2002",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2003",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2004",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2005",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2006",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2007",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2008",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2009",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2010",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2011",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2012",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2013",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2014",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2015",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2016",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2017",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2018",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2019",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"inicial del dividendo demográfico","2020",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1990","95.1"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1991","94.7"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1992","93.9"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1993","93.1"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1994","92"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1995","90.7"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1996","89.2"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1997","88.5"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1998","88.2"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","1999","86.8"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2000","84.7"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2001","82.7"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2002","79.7"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2003","77.2"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2004","74.9"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2005","71.3"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2006","69.1"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2007","65.7"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2008","63.4"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2009","60.3"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2010","55.6"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2011","51.9"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2012","47.8"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2013","41.9"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2014","38"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2015","34.3"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2016","31.2"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2017","28.2"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2018","25"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2019",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico","2020",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1990",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1991",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1992",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1993",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1994",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1995",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1996",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1997",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1998",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","1999",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2000",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2001",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2002",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2003",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2004",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2005",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2006",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2007",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2008",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2009",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2010",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2011",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2012",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2013",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2014",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2015",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2016",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2017",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2018",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2019",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (excluido altos ingresos)","2020",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1990",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1991",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1992",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1993",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1994",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1995",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1996",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1997",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1998",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","1999",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2000",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2001",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2002",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2003",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2004",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2005",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2006",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2007",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2008",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2009",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2010",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2011",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2012",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2013",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2014",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2015",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2016",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2017",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2018",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2019",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Asia oriental y el Pacífico (BIRF y la AIF)","2020",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1990",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1991",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1992",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1993",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1994",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1995",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1996",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1997",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1998",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","1999",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2000",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2001",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2002",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2003",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2004",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2005",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2006",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2007",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2008",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2009",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2010",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2011",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2012",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2013",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2014",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2015",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2016",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2017",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2018",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2019",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Zona del Euro","2020",".."
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1990","25.8"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1991","28.5"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1992","32.1"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1993","36.4"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1994","41"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1995","36.4"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1996","39.7"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1997","37"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1998","37.6"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","1999","45.5"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","2000","41.4"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","2001","38.7"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","2002","35.4"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","2003","33.7"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","2004","29.2"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","2005","26.5"
Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Europa y Asia central","2006","23.2"
